TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202606021200,1.002,1.298,0.300,-0.004,1.298,0.300,1.298,0.300,1.298
202606021206,1.018,,,,,,,,
202606021212,1.033,1.269,,,,,,,
202606021218,1.049,,,,,,,,
202606021224,1.064,1.289,,,,,,,
202606021230,1.079,,,,,,,,
202606021236,1.094,1.348,,,,,,,
202606021242,1.109,,,,,,,,
202606021248,1.123,1.371,,,,,,,
202606021254,1.137,,,,,,,,
202606021300,1.151,1.390,0.300,-0.061,1.390,0.300,1.390,0.300,1.390
202606021306,1.165,1.410,,,,,,,
202606021312,1.178,1.449,,,,,,,
202606021318,1.191,1.459,,,,,,,
202606021324,1.203,1.469,,,,,,,
202606021330,1.216,1.479,,,,,,,
202606021336,1.228,1.489,,,,,,,
202606021342,1.239,1.518,,,,,,,
202606021348,1.250,1.518,,,,,,,
202606021354,1.261,1.538,,,,,,,
202606021400,1.271,1.538,0.300,-0.033,1.538,0.300,1.538,0.300,1.538
202606021406,1.281,1.557,,,,,,,
202606021412,1.291,1.571,,,,,,,
202606021418,1.300,1.600,,,,,,,
202606021424,1.309,1.600,,,,,,,
202606021430,1.317,1.620,,,,,,,
202606021436,1.325,1.639,,,,,,,
202606021442,1.332,1.649,,,,,,,
202606021448,1.339,1.669,,,,,,,
202606021454,1.346,1.679,,,,,,,
202606021500,1.352,1.659,0.300,0.007,1.659,0.300,1.659,0.300,1.659
202606021506,1.357,1.649,,,,,,,
202606021512,1.362,1.639,,,,,,,
202606021518,1.366,1.620,,,,,,,
202606021524,1.370,1.600,,,,,,,
202606021530,1.374,1.600,,,,,,,
202606021536,1.377,1.600,,,,,,,
202606021542,1.379,1.600,,,,,,,
202606021548,1.381,1.610,,,,,,,
202606021554,1.382,1.600,,,,,,,
202606021600,1.382,1.610,0.300,-0.072,1.610,0.300,1.610,0.300,1.610
202606021606,1.383,1.630,,,,,,,
202606021612,1.382,1.620,,,,,,,
202606021618,1.381,1.630,,,,,,,
202606021624,1.380,1.600,,,,,,,
202606021630,1.377,1.600,,,,,,,
202606021636,1.375,1.580,,,,,,,
202606021642,1.371,1.580,,,,,,,
