TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202606070000,0.393,2.049,0.700,0.956,2.049,0.700,2.049,0.800,2.149
202606070006,0.395,,,,,,,,
202606070012,0.397,2.030,,,,,,,
202606070018,0.400,,,,,,,,
202606070024,0.402,2.109,,,,,,,
202606070030,0.405,,,,,,,,
202606070036,0.407,2.128,,,,,,,
202606070042,0.409,,,,,,,,
202606070048,0.412,2.049,,,,,,,
202606070054,0.414,,,,,,,,
202606070100,0.416,,0.700,,1.116,0.700,1.116,0.800,1.216
202606070106,0.419,2.059,,,,,,,
202606070112,0.421,2.069,,,,,,,
202606070118,0.423,2.059,,,,,,,
202606070124,0.425,2.040,,,,,,,
202606070130,0.427,2.049,,,,,,,
202606070136,0.429,2.109,,,,,,,
202606070142,0.431,2.191,,,,,,,
202606070148,0.433,2.200,,,,,,,
202606070154,0.435,2.168,,,,,,,
202606070200,0.437,2.128,0.700,0.991,2.128,0.700,2.128,0.800,2.228
202606070206,0.439,2.059,,,,,,,
202606070212,0.441,1.981,,,,,,,
202606070218,0.442,1.981,,,,,,,
202606070224,0.444,1.990,,,,,,,
202606070230,0.445,1.981,,,,,,,
202606070236,0.447,1.990,,,,,,,
202606070242,0.448,2.079,,,,,,,
202606070248,0.449,2.089,,,,,,,
202606070254,0.451,2.049,,,,,,,
202606070300,0.452,2.030,0.700,0.878,2.030,0.700,2.030,0.800,2.130
202606070306,0.453,2.069,,,,,,,
202606070312,0.453,2.059,,,,,,,
202606070318,0.454,2.040,,,,,,,
202606070324,0.455,2.040,,,,,,,
202606070330,0.455,2.059,,,,,,,
202606070336,0.456,1.981,,,,,,,
202606070342,0.456,1.928,,,,,,,
202606070348,0.456,1.948,,,,,,,
202606070354,0.456,2.010,,,,,,,
202606070400,0.456,2.030,0.700,0.874,2.030,0.700,2.030,0.800,2.130
202606070406,0.456,2.049,,,,,,,
202606070412,0.456,2.079,,,,,,,
202606070418,0.455,2.109,,,,,,,
202606070424,0.455,2.069,,,,,,,
202606070430,0.454,2.040,,,,,,,
202606070436,0.454,2.040,,,,,,,
202606070442,0.453,2.010,,,,,,,
202606070448,0.452,1.981,,,,,,,
202606070454,0.451,1.958,,,,,,,
202606070500,0.450,1.948,0.800,0.698,1.948,0.700,1.848,0.800,1.948
202606070506,0.449,1.928,,,,,,,
202606070512,0.447,1.899,,,,,,,
202606070518,0.446,1.899,,,,,,,
202606070524,0.444,1.948,,,,,,,
202606070530,0.443,1.958,,,,,,,
202606070536,0.441,1.967,,,,,,,
202606070542,0.439,1.948,,,,,,,
202606070548,0.438,1.928,,,,,,,
202606070554,0.436,1.928,,,,,,,
202606070600,0.434,1.967,0.800,0.733,1.967,0.700,1.867,0.800,1.967
202606070606,0.432,1.958,,,,,,,
202606070612,0.430,1.899,,,,,,,
202606070618,0.428,1.849,,,,,,,
202606070624,0.426,1.869,,,,,,,
202606070630,0.423,1.879,,,,,,,
202606070636,0.421,1.869,,,,,,,
202606070642,0.419,1.889,,,,,,,
202606070648,0.416,1.948,,,,,,,
202606070654,0.414,1.981,,,,,,,
202606070700,0.411,1.990,0.800,0.779,1.990,0.700,1.890,0.800,1.990
202606070706,0.409,2.000,,,,,,,
202606070712,0.406,1.990,,,,,,,
202606070718,0.404,1.948,,,,,,,
202606070724,0.401,1.938,,,,,,,
202606070730,0.398,1.981,,,,,,,
202606070736,0.395,1.958,,,,,,,
202606070742,0.392,1.899,,,,,,,
202606070748,0.390,1.879,,,,,,,
202606070754,0.387,1.889,,,,,,,
202606070800,0.383,1.869,0.800,0.686,1.869,0.700,1.769,0.800,1.869
202606070806,0.380,1.830,,,,,,,
202606070812,0.377,1.840,,,,,,,
202606070818,0.374,1.869,,,,,,,
202606070824,0.371,1.879,,,,,,,
202606070830,0.367,1.840,,,,,,,
202606070836,0.364,1.800,,,,,,,
202606070842,0.360,1.790,,,,,,,
202606070848,0.357,1.810,,,,,,,
202606070854,0.353,1.820,,,,,,,
202606070900,0.349,1.800,0.800,0.651,1.800,0.700,1.700,0.800,1.800
202606070906,0.346,1.800,,,,,,,
202606070912,0.342,1.830,,,,,,,
202606070918,0.338,1.849,,,,,,,
202606070924,0.334,1.830,,,,,,,
202606070930,0.330,1.810,,,,,,,
202606070936,0.326,1.830,,,,,,,
202606070942,0.322,1.840,,,,,,,
202606070948,0.318,1.820,,,,,,,
202606070954,0.313,1.800,,,,,,,
202606071000,0.309,1.790,0.800,0.681,1.790,0.700,1.690,0.800,1.790
202606071006,0.305,1.767,,,,,,,
202606071012,0.301,1.758,,,,,,,
202606071018,0.296,1.781,,,,,,,
202606071024,0.292,1.800,,,,,,,
202606071030,0.287,1.790,,,,,,,
202606071036,0.283,1.767,,,,,,,
202606071042,0.278,1.781,,,,,,,
202606071048,0.274,1.767,,,,,,,
202606071054,0.270,1.728,,,,,,,
202606071100,0.265,1.689,0.800,0.624,1.689,0.700,1.589,0.800,1.689
202606071106,0.261,1.679,,,,,,,
202606071112,0.256,1.679,,,,,,,
202606071118,0.252,1.679,,,,,,,
202606071124,0.248,1.679,,,,,,,
202606071130,0.244,1.679,,,,,,,
202606071136,0.239,1.679,,,,,,,
202606071142,0.235,1.679,,,,,,,
202606071148,0.231,1.679,,,,,,,
202606071154,0.227,1.689,,,,,,,
202606071200,0.223,1.699,0.800,0.676,1.699,0.700,1.599,0.800,1.699
202606071206,0.219,1.679,,,,,,,
202606071212,0.215,1.679,,,,,,,
202606071218,0.212,1.679,,,,,,,
202606071224,0.208,1.669,,,,,,,
202606071230,0.205,1.639,,,,,,,
202606071236,0.201,1.630,,,,,,,
202606071242,0.198,1.659,,,,,,,
202606071248,0.194,1.649,,,,,,,
202606071254,0.191,1.620,,,,,,,
202606071300,0.188,1.600,0.800,0.612,1.600,0.700,1.500,0.800,1.600
202606071306,0.185,1.620,,,,,,,
202606071312,0.183,1.630,,,,,,,
202606071318,0.180,1.620,,,,,,,
202606071324,0.177,1.590,,,,,,,
202606071330,0.175,1.600,,,,,,,
202606071336,0.173,1.590,,,,,,,
202606071342,0.170,1.557,,,,,,,
202606071348,0.168,1.528,,,,,,,
202606071354,0.166,1.528,,,,,,,
202606071400,0.164,1.528,0.800,0.564,1.528,0.700,1.428,0.800,1.528
202606071406,0.163,1.538,,,,,,,
202606071412,0.161,1.528,,,,,,,
202606071418,0.159,1.528,,,,,,,
202606071424,0.158,1.528,,,,,,,
202606071430,0.157,1.528,,,,,,,
202606071436,0.155,1.528,,,,,,,
202606071442,0.154,1.528,,,,,,,
202606071448,0.153,1.557,,,,,,,
202606071454,0.153,1.538,,,,,,,
202606071500,0.152,1.518,0.800,0.566,1.518,0.700,1.418,0.800,1.518
202606071506,0.151,1.518,,,,,,,
202606071512,0.151,1.528,,,,,,,
202606071518,0.150,1.508,,,,,,,
202606071524,0.150,1.489,,,,,,,
202606071530,0.150,1.479,,,,,,,
202606071536,0.150,1.489,,,,,,,
202606071542,0.150,1.498,,,,,,,
202606071548,0.150,1.498,,,,,,,
202606071554,0.150,1.479,,,,,,,
202606071600,0.151,1.449,0.800,0.498,1.449,0.700,1.349,0.800,1.449
202606071606,0.151,1.439,,,,,,,
202606071612,0.152,1.449,,,,,,,
202606071618,0.153,1.439,,,,,,,
202606071624,0.154,1.420,,,,,,,
202606071630,0.155,1.420,,,,,,,
202606071636,0.156,1.430,,,,,,,
202606071642,0.157,1.410,,,,,,,
202606071648,0.159,1.410,,,,,,,
202606071654,0.160,1.400,,,,,,,
202606071700,0.162,1.400,0.800,0.438,1.400,0.700,1.300,0.800,1.400
202606071706,0.164,1.400,,,,,,,
202606071712,0.166,1.400,,,,,,,
202606071718,0.168,1.410,,,,,,,
202606071724,0.170,1.400,,,,,,,
202606071730,0.173,1.400,,,,,,,
202606071736,0.175,1.400,,,,,,,
202606071742,0.178,1.400,,,,,,,
202606071748,0.181,1.390,,,,,,,
202606071754,0.184,1.400,,,,,,,
202606071800,0.187,1.400,0.700,0.513,1.400,0.700,1.400,0.700,1.400
202606071806,0.190,1.390,,,,,,,
202606071812,0.193,1.390,,,,,,,
202606071818,0.196,1.390,,,,,,,
202606071824,0.200,1.390,,,,,,,
202606071830,0.203,1.400,,,,,,,
202606071836,0.207,1.400,,,,,,,
202606071842,0.211,1.390,,,,,,,
202606071848,0.215,1.371,,,,,,,
202606071854,0.219,1.361,,,,,,,
202606071900,0.222,1.338,0.700,0.416,1.338,0.700,1.338,0.700,1.338
202606071906,0.227,1.338,,,,,,,
202606071912,0.231,1.328,,,,,,,
202606071918,0.235,1.318,,,,,,,
202606071924,0.239,1.308,,,,,,,
202606071930,0.243,1.308,,,,,,,
202606071936,0.247,1.308,,,,,,,
202606071942,0.252,1.318,,,,,,,
202606071948,0.256,1.318,,,,,,,
202606071954,0.260,1.318,,,,,,,
202606072000,0.264,1.298,0.700,0.334,1.298,0.700,1.298,0.700,1.298
202606072006,0.270,1.308,,,,,,,
202606072012,0.273,1.308,,,,,,,
202606072018,0.277,1.298,,,,,,,
202606072024,0.281,1.289,,,,,,,
202606072030,0.285,1.298,,,,,,,
202606072036,0.289,1.328,,,,,,,
202606072042,0.293,1.318,,,,,,,
202606072048,0.296,1.298,,,,,,,
202606072054,0.300,1.308,,,,,,,
202606072100,0.304,1.328,0.700,0.324,1.328,0.700,1.328,0.700,1.328
202606072106,0.307,1.348,,,,,,,
202606072112,0.311,1.371,,,,,,,
202606072118,0.314,1.371,,,,,,,
202606072124,0.317,1.371,,,,,,,
202606072130,0.321,1.361,,,,,,,
202606072136,0.324,1.328,,,,,,,
202606072142,0.326,1.318,,,,,,,
202606072148,0.329,1.298,,,,,,,
202606072154,0.332,1.289,,,,,,,
202606072200,0.335,1.308,0.700,0.273,1.308,0.700,1.308,0.700,1.308
202606072206,0.337,1.298,,,,,,,
202606072212,0.339,1.298,,,,,,,
202606072218,0.342,1.318,,,,,,,
202606072224,0.344,1.338,,,,,,,
202606072230,0.346,1.348,,,,,,,
202606072236,0.348,1.338,,,,,,,
202606072242,0.350,1.348,,,,,,,
202606072248,0.352,1.371,,,,,,,
202606072254,0.353,1.371,,,,,,,
202606072300,0.355,1.328,0.700,0.273,1.328,0.700,1.328,0.700,1.328
202606072306,0.356,1.338,,,,,,,
202606072312,0.358,1.348,,,,,,,
202606072318,0.359,1.361,,,,,,,
202606072324,0.361,1.361,,,,,,,
202606072330,0.362,1.380,,,,,,,
202606072336,0.363,1.400,,,,,,,
202606072342,0.364,1.410,,,,,,,
202606072348,0.366,1.390,,,,,,,
202606072354,0.367,1.371,,,,,,,
202606080000,0.368,1.371,0.700,0.303,1.371,0.700,1.371,0.700,1.371
202606080006,0.369,1.390,,,,,,,
202606080012,0.370,1.380,,,,,,,
202606080018,0.371,1.371,,,,,,,
202606080024,0.372,1.380,,,,,,,
202606080030,0.373,1.410,,,,,,,
202606080036,0.374,1.420,,,,,,,
202606080042,0.375,1.420,,,,,,,
202606080048,0.376,1.430,,,,,,,
202606080054,0.377,1.420,,,,,,,
202606080100,0.378,1.420,0.700,0.342,1.420,0.700,1.420,0.700,1.420
202606080106,0.379,1.439,,,,,,,
202606080112,0.380,1.449,,,,,,,
202606080118,0.381,1.439,,,,,,,
202606080124,0.382,1.439,,,,,,,
202606080130,0.382,1.420,,,,,,,
202606080136,0.383,1.430,,,,,,,
202606080142,0.384,1.449,,,,,,,
202606080148,0.385,1.449,,,,,,,
202606080154,0.386,1.449,,,,,,,
202606080200,0.387,1.469,0.700,0.382,1.469,0.700,1.469,0.700,1.469
202606080206,0.387,1.469,,,,,,,
202606080212,0.388,1.479,,,,,,,
202606080218,0.389,1.508,,,,,,,
202606080224,0.390,1.508,,,,,,,
202606080230,0.390,1.498,,,,,,,
202606080236,0.391,1.498,,,,,,,
202606080242,0.391,1.528,,,,,,,
202606080248,0.392,1.548,,,,,,,
202606080254,0.392,1.557,,,,,,,
202606080300,0.393,1.571,0.700,0.478,1.571,0.700,1.571,0.700,1.571
202606080306,0.393,1.590,,,,,,,
202606080312,0.393,1.580,,,,,,,
202606080318,0.394,1.571,,,,,,,
202606080324,0.394,1.580,,,,,,,
202606080330,0.394,1.590,,,,,,,
202606080336,0.394,1.590,,,,,,,
202606080342,0.394,1.580,,,,,,,
202606080348,0.394,1.571,,,,,,,
202606080354,0.394,1.571,,,,,,,
202606080400,0.393,1.571,0.700,0.478,1.571,0.700,1.571,0.700,1.571
