        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202605270600,   0.241,   1.239,   0.700,   0.298,   1.239,   0.700,   1.239,   0.700,   1.239
202605270606,   0.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270612,   0.236,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270618,   0.234,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270624,   0.232,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270630,   0.231,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270636,   0.229,   1.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270642,   0.227,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270648,   0.226,   1.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270654,   0.224,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270700,   0.223,   1.108,   0.700,   0.185,   1.108,   0.700,   1.108,   0.700,   1.108
202605270706,   0.221,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270712,   0.220,   1.088,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270718,   0.219,   1.069,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270724,   0.218,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270730,   0.217,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270736,   0.216,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270742,   0.215,   1.069,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270748,   0.214,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270754,   0.214,   1.118,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270800,   0.213,   1.180,   0.700,   0.267,   1.180,   0.700,   1.180,   0.700,   1.180
202605270806,   0.213,   1.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270812,   0.212,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270818,   0.211,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270824,   0.211,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270830,   0.210,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270836,   0.210,   1.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270842,   0.210,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270848,   0.209,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270854,   0.209,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270900,   0.209,   1.170,   0.700,   0.261,   1.170,   0.700,   1.170,   0.700,   1.170
202605270906,   0.208,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270912,   0.208,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270918,   0.208,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270924,   0.207,   1.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270930,   0.207,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270936,   0.207,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270942,   0.207,   1.151,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270948,   0.206,   1.118,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605270954,   0.206,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271000,   0.206,   1.118,   0.700,   0.212,   1.118,   0.700,   1.118,   0.700,   1.118
202605271006,   0.206,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271012,   0.206,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271018,   0.206,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271024,   0.206,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271030,   0.206,   1.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271036,   0.206,   1.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271042,   0.206,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271048,   0.206,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271054,   0.206,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271100,   0.206,   1.220,   0.700,   0.314,   1.220,   0.700,   1.220,   0.700,   1.220
202605271106,   0.206,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271112,   0.207,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271118,   0.207,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271124,   0.207,   1.229,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271130,   0.208,   1.229,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271136,   0.209,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271142,   0.209,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271148,   0.210,   1.279,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271154,   0.211,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271200,   0.212,   1.259,   0.700,   0.347,   1.259,   0.700,   1.259,   0.700,   1.259
202605271206,   0.213,   1.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271212,   0.214,   1.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271218,   0.215,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271224,   0.217,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271230,   0.218,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271236,   0.220,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271242,   0.221,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271248,   0.223,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271254,   0.225,   1.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271300,   0.227,   1.289,   0.700,   0.362,   1.289,   0.700,   1.289,   0.700,   1.289
202605271306,   0.229,   1.298,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271312,   0.231,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271318,   0.233,   1.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271324,   0.235,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271330,   0.238,   1.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271336,   0.240,   1.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271342,   0.243,   1.361,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271348,   0.245,   1.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271354,   0.248,   1.371,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202605271400,   0.251,   1.400,   0.700,   0.449,   1.400,   0.700,   1.400,   0.700,   1.400
202605271406,   0.253,   1.390,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
